,BorrowerState,OriginatingLender,CurrentApprovalAmount
676,NJ,Peapack-Gladstone Bank,473696506
677,NJ,"Santander Bank, National Association",453799927
678,NJ,Republic First Bank d/b/a Republic Bank,419814836
679,NJ,"Citizens Bank, National Association",370684576
680,NJ,Customers Bank,329354806
681,NM,First American Bank,226374200
682,NM,"BOKF, National Association",186872946
683,NM,New Mexico Bank & Trust,149968014
684,NM,Century Bank,143300905
685,NM,"U.S. Bank, National Association",136325030
686,NM,Enterprise Bank & Trust,120487920
687,NM,"Wells Fargo Bank, National Association",114448039
688,NM,Western Commerce Bank,110285075
689,NM,Bank of the West,104047637
690,NM,"Bank of America, National Association",103905800
691,NM,Washington Federal Bank,87933842
692,NM,Citizens Bank of Las Cruces,86566628
693,NM,The Citizens Bank,86206818
694,NM,Four Corners Community Bank,84047221
695,NM,"Sunflower Bank, National Association",82458680
696,NM,Nusenda FCU,74493675
697,NM,Main Bank,74461548
698,NM,First Source FCU,74172105
699,NM,Lea County State Bank,67610490
700,NM,Pioneer Bank,67127503
701,NV,"Zions Bank, A Division of",850138891
702,NV,Western Alliance Bank,636137152
703,NV,"Bank of America, National Association",550320488
704,NV,"Wells Fargo Bank, National Association",340122393
705,NV,"U.S. Bank, National Association",326854445
706,NV,"JPMorgan Chase Bank, National Association",306075547
707,NV,City National Bank,217722952
708,NV,Meadows Bank,200789979
709,NV,Greater Nevada CU,190378036
710,NV,Cross River Bank,186528218
711,NV,Glacier Bank,180986875
712,NV,"Harvest Small Business Finance, LLC",157593914
713,NV,"Prestamos CDFI, LLC",152517371
714,NV,Lexicon Bank,151956549
715,NV,"Capital Plus Financial, LLC",139703939
716,NV,Bank of the West,123535293
717,NV,Customers Bank,90750323
718,NV,Cache Valley Bank,80340308
719,NV,Umpqua Bank,79017015
720,NV,GBank,73900050
721,NY,"JPMorgan Chase Bank, National Association",10793126313
722,NY,Manufacturers and Traders Trust Company,4998805212
723,NY,"TD Bank, National Association",3294028940
724,NY,"Bank of America, National Association",2726955871
725,NY,KeyBank National Association,2635360078
726,NY,Signature Bank,2552458522
727,NY,"Citibank, N.A.",2383895561
728,NY,Dime Community Bank,1806920785
729,NY,Cross River Bank,1580856112
730,NY,"HSBC Bank USA, National Association",967051164
731,NY,Valley National Bank,904516350
732,NY,"Capital One, National Association",824876726
733,NY,Customers Bank,731407599
734,NY,Webster Bank National Association,716967309
735,NY,New York Business Development Corporation,665576303
736,NY,"Citizens Bank, National Association",654523293
737,NY,"NBT Bank, National Association",639068068
738,NY,"Harvest Small Business Finance, LLC",626732596
739,NY,Northeast Bank,592376944
740,NY,The Canandaigua National Bank and Trust Company,520091596
741,OH,The Huntington National Bank,4303217193
742,OH,"PNC Bank, National Association",2797913027
743,OH,KeyBank National Association,1981875823
744,OH,Fifth Third Bank,1703917789
745,OH,"JPMorgan Chase Bank, National Association",1501233787
746,OH,"U.S. Bank, National Association",651029540
747,OH,The Park National Bank,580466104
748,OH,Premier Bank,564851569
749,OH,First Financial Bank,559638108
750,OH,Peoples Bank,503032166
751,OH,"Citizens Bank, National Association",396509685
752,OH,First National Bank of Pennsylvania,370379997
753,OH,Civista Bank,365675278
754,OH,The Farmers National Bank of Canfield,349407487
755,OH,"Prestamos CDFI, LLC",298167083
756,OH,"WesBanco Bank, Inc.",290465023
757,OH,"Signature Bank, National Association",287484530
758,OH,"Harvest Small Business Finance, LLC",278361512
759,OH,"Westfield Bank, FSB",273084467
760,OH,"Capital Plus Financial, LLC",255999874
761,OK,BancFirst,1060529768
762,OK,Arvest Bank,597015451
763,OK,"BOKF, National Association",461852751
764,OK,MidFirst Bank,355520733
765,OK,First United Bank and Trust Company,263223287
766,OK,RCB Bank,185031795
767,OK,Mabrey Bank,176073132
768,OK,Prosperity Bank,153861327
769,OK,Simmons Bank,142945792
770,OK,Security Bank,140353560
771,OK,Great Plains National Bank,137748228
772,OK,First Oklahoma Bank,136331095
773,OK,Armstrong Bank,133853974
774,OK,"JPMorgan Chase Bank, National Association",111702786
775,OK,Regent Bank,100162459
776,OK,First Fidelity Bank,93343462
777,OK,CrossFirst Bank,89558950
778,OK,International Bank of Commerce,85520178
779,OK,InterBank,84060638
780,OK,Bank 7,79883847
781,OR,"U.S. Bank, National Association",1031732126
782,OR,Umpqua Bank,1020412784
783,OR,KeyBank National Association,875105100
784,OR,Columbia State Bank,667582088
785,OR,First Interstate Bank,423447416
786,OR,"JPMorgan Chase Bank, National Association",384937193
787,OR,"Bank of America, National Association",380565334
788,OR,Banner Bank,310877767
789,OR,"Wells Fargo Bank, National Association",286923239
790,OR,Heritage Bank,278326399
791,OR,Bank of the West,214169127
792,OR,Washington Federal Bank,188642578
793,OR,Oregon Pacific Banking Co. d/b/a Oregon Pacific Bank,178199215
794,OR,Washington Trust Bank,174992165
795,OR,Summit Bank,169806200
796,OR,People's Bank of Commerce,165251417
797,OR,"Zions Bank, A Division of",136153927
798,OR,OnPoint Community CU,135962890
799,OR,Citizens Bank,132617174
800,OR,"Readycap Lending, LLC",131271692
801,PA,"PNC Bank, National Association",3494929759
802,PA,First National Bank of Pennsylvania,1934085574
803,PA,"Citizens Bank, National Association",1604567392
804,PA,Manufacturers and Traders Trust Company,1430798236
805,PA,"Fulton Bank, National Association",1379155263
806,PA,"TD Bank, National Association",1216186647
807,PA,KeyBank National Association,808230207
808,PA,Mid Penn Bank,771969958
809,PA,Truist Bank,756270383
810,PA,"Wilmington Savings Fund Society, FSB",720051146
811,PA,Univest Bank and Trust Co.,618087190
812,PA,S & T Bank,584058224
813,PA,First Commonwealth Bank,581496113
814,PA,Orrstown Bank,474524939
815,PA,The Huntington National Bank,450181156
816,PA,"Bank of America, National Association",418461934
817,PA,"Dollar Bank, A Federal Savings Bank",405235808
818,PA,Customers Bank,386844358
